2016-12-30 19:26:19 - [INFO] --> Logowanie użytkownika: [mennica_test]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [1], Ilość: [3]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [3], Ilość: [4]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [7], Ilość: [8]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [8], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [9], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [10], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [11], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [12], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [13], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [17], Ilość: [3]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [25], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [26], Ilość: [2]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [28], Ilość: [3]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [30], Ilość: [1]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [33], Ilość: [4]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [34], Ilość: [4]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [35], Ilość: [4]
2016-12-30 19:44:07 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [39], Ilość: [4]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [42], Ilość: [8]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [43], Ilość: [6]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [44], Ilość: [3]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [139], Ilość: [3]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [141], Ilość: [4]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [142], Ilość: [4]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [143], Ilość: [3]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [144], Ilość: [3]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [145], Ilość: [8]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [146], Ilość: [2]
2016-12-30 19:44:08 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/01/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [147], Ilość: [2]
